Name *,"Categories (x,y,z...)",Price tax included,Tax rules ID,Wholesale price,Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,Weight,Quantity,Summary,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,"Available for order (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)",
oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,Objetos Decorativo,"5,89",1,"17,67",070021,070021,Natal,Natal,8720194831960,3.2,12,"Bauble glass w beads, glitter, diamond, w gems chain in the middle 4col ass","oxblood, 070021, christmas, Natal, 8720194831960, Objetos Decorativo",oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,,"Bauble glass w beads, glitter, diamond, w gems chain in the middle 4col ass",Natal-070021,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/070021v.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A49Z&sr=c&sp=r&sig=UJggpSXSKYgLVPrChsgnpXO2EJlTXVs%2B76VSBNmj%2Fp4%3D,oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,Diâmetro:10cm:1
transparent w golden line,Objetos Decorativo,"1,39",1,"4,17",070087,070087,Natal,Natal,8720194834121,3.5,48,Ornament glass transparent color w golden line 3ass,"transparent, 070087, christmas, Natal, 8720194834121, Objetos Decorativo",transparent w golden line,,Ornament glass transparent color w golden line 3ass,Natal-070087,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/070087.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A50Z&sr=c&sp=r&sig=pEtrxVhnZgki1sWdw8hkJkMatQ8qNaP0EG1O3sKmjoA%3D,transparent w golden line,Comprimento:6cm:1;Largura:6cm:1;Altura:12cm:1
2col ass winter white matt - night blue matt,Objetos Decorativo,"1,43",1,"4,29",070096,070096,Natal,Natal,8720194832875,3.5,48,"Bauble glass opaque matt color w glitter swirl, star - w beads, diamond - w beads, glitter lines, spangle 6ass","2col, 070096, christmas, Natal, 8720194832875, Objetos Decorativo",2col ass winter white matt - night blue matt,,"Bauble glass opaque matt color w glitter swirl, star - w beads, diamond - w beads, glitter lines, spangle 6ass",Natal-070096,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/070096.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A51Z&sr=c&sp=r&sig=3ReIPMnDFRJpS2MFS1wq2qtMXW0k%2BwECK0doEiFvfZM%3D,2col ass winter white matt - night blue matt,Diâmetro:8cm:1
3col ass sparkling rose matt - pearl matt - pistachio matt,Objetos Decorativo,"1,46",1,"4,38",070123,070123,Natal,Natal,8720194835104,3.5,48,"Bauble glass matt w diamond and pearl in the middle, w glitter swirl 3ass","3col, 070123, christmas, Natal, 8720194835104, Objetos Decorativo",3col ass sparkling rose matt - pearl matt - pistachio matt,,"Bauble glass matt w diamond and pearl in the middle, w glitter swirl 3ass",Natal-070123,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/070123.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A53Z&sr=c&sp=r&sig=jawAUGxR0q4Zjtfdt9Q0xxtzxpK7bvftrrdFyJU4GDo%3D,3col ass sparkling rose matt - pearl matt - pistachio matt,Diâmetro:8cm:1
Bauble glass shiny,Objetos Decorativo,"3,77",1,"11,31",113066,113066,Natal,Natal,8717427888167,1.05,8,Bauble glass shiny,"Bauble, 113066, christmas, Natal, 8717427888167, Objetos Decorativo",Bauble glass shiny,,Bauble glass shiny,Natal-113066,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/113066.jpg?sv=2018-11-09&se=2023-09-27T10%3A32%3A58Z&sr=c&sp=r&sig=xQ0KGQHI9QpCNgC3Au0nTx6SyGE%2FC200GPQHEEZqb3w%3D,Bauble glass shiny,Diâmetro:15cm:1
Bauble glass enamel,Objetos Decorativo,"3,77",1,"11,31",114826,114826,Natal,Natal,8718532548458,1.05,8,Bauble glass enamel,"Bauble, 114826, christmas, Natal, 8718532548458, Objetos Decorativo",Bauble glass enamel,,Bauble glass enamel,Natal-114826,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/114826.jpg?sv=2018-11-09&se=2023-09-27T10%3A32%3A59Z&sr=c&sp=r&sig=bH9PlHS%2FGeohCQQDsvcgGz4zgXBDifz4l%2BsWCTxZg3E%3D,Bauble glass enamel,Diâmetro:15cm:1
light green - green - dark green,Objetos Decorativo,"3,94",1,"11,82",120317,120317,Natal,Natal,8718533509670,4.5,24,Pinecone glass antique frosted 3col ass,"light, 120317, christmas, Natal, 8718533509670, Objetos Decorativo",light green - green - dark green,,Pinecone glass antique frosted 3col ass,Natal-120317,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/120317v.jpg?sv=2018-11-09&se=2023-09-27T10%3A33%3A01Z&sr=c&sp=r&sig=E6RsTbt2UhecTvgHRWGjCNf4Yu6cYe3CsXSMyQdNPog%3D,light green - green - dark green,Altura:12cm:1;Diâmetro:6cm:1
"nutcracker w shovel and basket of mushroom - santa w stick, basket and backpack w mushroom",Objetos Decorativo,"5,74",1,"17,22",121271,121271,Natal,Natal,8720194842607,2.5,24,"Figures glass w fake fur, snail, binocular, lantern 2ass","nutcracker, 121271, christmas, Natal, 8720194842607, Objetos Decorativo","nutcracker w shovel and basket of mushroom - santa w stick, basket and backpack w mushroom",,"Figures glass w fake fur, snail, binocular, lantern 2ass",Natal-121271,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/121271.jpg?sv=2018-11-09&se=2023-09-27T10%3A33%3A03Z&sr=c&sp=r&sig=nq6rymyozfUYyXuT%2BixRr1GlxaG9IpZe%2BCQHhcu2l5s%3D,"nutcracker w shovel and basket of mushroom - santa w stick, basket and backpack w mushroom",Comprimento:7.8cm:1;Largura:6cm:1;Altura:15cm:1
Bauble glass transparent,Objetos Decorativo,"2,35",1,"7,05",138015,138015,Natal,Natal,8720194523650,2.3,48,Bauble glass transparent - eco pointsettia with branches,"Bauble, 138015, christmas, Natal, 8720194523650, Objetos Decorativo",Bauble glass transparent,,Bauble glass transparent - eco pointsettia with branches,Natal-138015,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/138015.jpg?sv=2018-11-09&se=2023-09-27T10%3A33%3A04Z&sr=c&sp=r&sig=S8laDMardzXGwCErKPIp8PsykW2gL2kTMVtYhYLcZ7g%3D,Bauble glass transparent,Diâmetro:8cm:1
red-green-white,Objetos Decorativo,"3,67",1,"11,01",209610,209610,Natal,Natal,8720194809815,13,24,Candle wax 3col ass,"red-green-white, 138015, christmas, Natal, 8720194523650, Objetos Decorativo",red-green-white,,Candle wax 3col ass,Natal-209610,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/209610v.jpg?sv=2018-11-09&se=2023-09-27T10%3A33%3A06Z&sr=c&sp=r&sig=WiZo4XsZq%2BCJcU0cspSUU3dhRrIEiM4e1IoctCl4Ym0%3D,red-green-white,Altura:9cm:1;Diâmetro:8cm:1
Train iron tree,Objetos Decorativo,"65,23",1,"195,69",380255,380255,Natal,Natal,8719152939800,1.1,1,"Train iron tree gifts, berries, pinecones, bells","Train, 380255, christmas, Natal, 8719152939800, Objetos Decorativo",Train iron tree,,"Train iron tree gifts, berries, pinecones, bells",Natal-380255,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/380255.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A29Z&sr=c&sp=r&sig=cfRLB1bkAQ1n6PkliCLyVETNmNx9f2Mk%2FQWtCTSHUUQ%3D,Train iron tree,Comprimento:92cm:1;Largura:16.3cm:1;Altura:30cm:1
Lantern iron,Objetos Decorativo,"8,20",1,"24,6",380543,380543,Natal,Natal,8720093998979,7,6,Lantern iron,"Lantern, 380543, christmas, Natal, 8720093998979, Objetos Decorativo",Lantern iron,,Lantern iron,Natal-380543,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/380543.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A31Z&sr=c&sp=r&sig=b3WP%2FBv53Bfuc1Njw0fq32ICH0Te8zoxiudo36ZS7bY%3D,Lantern iron,Comprimento:15cm:1;Largura:15cm:1;Altura:37cm:1
Lantern iron,Objetos Decorativo,"6,35",1,"19,05",380544,380544,Natal,Natal,8720093998986,16.76,8,Lantern iron,"Lantern, 380544, christmas, Natal, 8720093998986, Objetos Decorativo",Lantern iron,,Lantern iron,Natal-380544,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/380544.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A32Z&sr=c&sp=r&sig=GxgZZlCmKFx5S%2BYyh5Lks4wZEWonhLSzScr9nuSCfDA%3D,Lantern iron,Comprimento:11cm:1;Largura:11cm:1;Altura:25cm:1
Mailbox iron on foot,Objetos Decorativo,"41,94",1,"125,82",386382,386382,Natal,Natal,8719152716555,2.8,1,Mailbox iron on foot,"Mailbox, 386382, christmas, Natal, 8719152716555, Objetos Decorativo",Mailbox iron on foot,,Mailbox iron on foot,Natal-386382,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/386382.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A33Z&sr=c&sp=r&sig=aXskkbH4cxy0GGf9Vrz61h7lYT5O6qkJSMKqI45lvGg%3D,Mailbox iron on foot,Comprimento:36.5cm:1;Largura:29.5cm:1;Altura:89cm:1
ecru - black - grey,Objetos Decorativo,"8,21",1,"24,63",391464,391464,Natal,Natal,8720194324790,9.75,24,Candleholder aluminium 3col ass,"ecru, 391464, christmas, Natal, 8720194324790, Objetos Decorativo",ecru - black - grey,,Candleholder aluminium 3col ass,Natal-391464,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/391464.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A34Z&sr=c&sp=r&sig=5zFy3Ica2K9VQdYhvTKEi0KxUTodhnMzBudvJ43Lhkc%3D,ecru - black - grey,Altura:20cm:1;Diâmetro:5cm:1
sage green-dark green,Objetos Decorativo,"2,12",1,"6,36",451733,451733,Natal,Natal,8720194732540,7.83,24,Giftbag paper rectangle glitter texts-leaf with handle 2col ass fsc 100%,"sage, 451733, christmas, Natal, 8720194732540, Objetos Decorativo",sage green-dark green,,Giftbag paper rectangle glitter texts-leaf with handle 2col ass fsc 100%,Natal-451733,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/451733.jpg?sv=2018-11-09&se=2023-09-27T10%3A34%3A35Z&sr=c&sp=r&sig=VyarlSKzp%2FFRtFfirc1fQ2CBJBx9Sv4puQLiFvgKhjY%3D,sage green-dark green,Comprimento:18cm:1;Largura:50cm:1;Altura:72cm:1
red check w tree -green check w wreath,Objetos Decorativo,"2,12",1,"6,36",451745,451745,Natal,Natal,8720194733738,7.83,24,Giftbag paper rectangle glitter check-xmas tree with handle 2ass fsc 100%,"red, 451745, christmas, Natal, 8720194733738, Objetos Decorativo",red check w tree -green check w wreath,,Giftbag paper rectangle glitter check-xmas tree with handle 2ass fsc 100%,Natal-451745,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/451745.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A10Z&sr=c&sp=r&sig=YUX6DAxaptL95iyc7d4qVhujZZl7mE8toOfSdT5hrOk%3D,red check w tree -green check w wreath,Comprimento:18cm:1;Largura:50cm:1;Altura:72cm:1
red check w tree -green check w wreath,Objetos Decorativo,"1,72",1,"5,16",451746,451746,Natal,Natal,8720194732748,7.3,36,Giftbag paper rectangle glitter check-xmas tree with handle 2ass fsc 100%,"red, 451746, christmas, Natal, 8720194732748, Objetos Decorativo",red check w tree -green check w wreath,,Giftbag paper rectangle glitter check-xmas tree with handle 2ass fsc 100%,Natal-451746,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/451746.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A12Z&sr=c&sp=r&sig=apfNtCEhhPEYWb%2FAQ3VpHIUikIwBnzUPZ1LJje2weFo%3D,red check w tree -green check w wreath,Comprimento:16cm:1;Largura:42cm:1;Altura:48cm:1
white red - red white,Objetos Decorativo,"1,79",1,"5,37",457186,457186,Natal,Natal,8719152756049,3.6,24,"Lolly foam lolly glitter, red satin bow 2col ass","white, 457186, christmas, Natal, 8719152756049, Objetos Decorativo",white red - red white,,"Lolly foam lolly glitter, red satin bow 2col ass",Natal-457186,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/457186.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A13Z&sr=c&sp=r&sig=UjSPD%2F1neS04j1%2FMz8vhKTynVqyk0Zn1Ha3zo2PKTX4%3D,white red - red white,Comprimento:3.5cm:1;Largura:14cm:1;Altura:36cm:1
white red - red white,Objetos Decorativo,"0,92",1,"2,76",457189,457189,Natal,Natal,8719152756070,3,24,Candy foam glitter 2col ass,"white, 457189, christmas, Natal, 8719152756070, Objetos Decorativo",white red - red white,,Candy foam glitter 2col ass,Natal-457189,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/457189.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A14Z&sr=c&sp=r&sig=9kBc4hMSiJx8zRLNfZJ2COlFuUJl701X%2FZpgLMftVCg%3D,white red - red white,Comprimento:3cm:1;Largura:8cm:1;Altura:20.5cm:1
Throw polyester rabbit fur,Objetos Decorativo,"37,79",1,"113,37",460797,460797,Natal,Natal,8720194885048,10.5,6,Throw polyester rabbit fur,"Throw, 460797, christmas, Natal, 8720194885048, Objetos Decorativo",Throw polyester rabbit fur,,Throw polyester rabbit fur,Natal-460797,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/460797.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A16Z&sr=c&sp=r&sig=iK2SO7AGAR2rwyEKWwsCAFzLZfyy%2F6TEjBcXuAvXv8E%3D,Throw polyester rabbit fur,Comprimento:130cm:1;Largura:150cm:1;Altura:1cm:1
LED water spinner,Objetos Decorativo,"11,50",1,"34,5",480972,480972,Natal,Natal,8719152081400,9.6,6,LED water spinner plastic tel booth steady BO indoor,"LED, 480972, christmas, Natal, 8719152081400, Objetos Decorativo",LED water spinner,,LED water spinner plastic tel booth steady BO indoor,Natal-480972,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/480972s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A35%3A18Z&sr=c&sp=r&sig=NWe9OLQuhDcL35rmfk7wzAxGXv2tu3998ScFhuU9COE%3D,LED water spinner,Comprimento:11cm:1;Largura:11cm:1;Altura:27cm:1
Battery eliminator BO,Objetos Decorativo,"4,47",1,"13,41",482673,482673,Natal,Natal,8718532336611,7,10,Battery eliminator BO indoor,"Battery, 482673, christmas, Natal, 8718532336611, Objetos Decorativo",Battery eliminator BO,,Battery eliminator BO indoor,Natal-482673,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/482673s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A01Z&sr=c&sp=r&sig=LaEV1%2FLDXgi6AfuW6dToU7B3zZCtZcxM1m8JLFOVaz8%3D,Battery eliminator BO,Comprimento:300cm:1
LED scenery plastic,Objetos Decorativo,"41,68",1,"125,04",484361,484361,Natal,Natal,8720194640913,3.5,2,LED scenery plastic flashing effect indoor,"LED, 484361, christmas, Natal, 8720194640913, Objetos Decorativo",LED scenery plastic,,LED scenery plastic flashing effect indoor,Natal-484361,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/484361.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A02Z&sr=c&sp=r&sig=sxfbiezBbnL9z32FXFhNnapxGqYiSI%2BL8xEq%2BQpTyPg%3D,LED scenery plastic,Comprimento:24.9cm:1;Largura:36.5cm:1;Altura:23.2cm:1
people dancing 8L - Santa with giftbag 6L - snowmans 3L - Santa with reindeer 7L,Objetos Decorativo,"15,24",1,"45,72",484682,484682,Natal,Natal,8720194639399,6,8,LED scenery polyresin steady BO indoor 4ass,"people, 484682, christmas, Natal, 8720194639399, Objetos Decorativo",people dancing 8L - Santa with giftbag 6L - snowmans 3L - Santa with reindeer 7L,,LED scenery polyresin steady BO indoor 4ass,Natal-484682,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/484682.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A03Z&sr=c&sp=r&sig=qrq%2FIWG0apIxM04xbAyAbqucySUnxFU7Ye7J4G%2F%2FL5w%3D,people dancing 8L - Santa with giftbag 6L - snowmans 3L - Santa with reindeer 7L,Comprimento:14.5cm:1;Largura:14.5cm:1;Altura:19.5cm:1
Micro LED ball,Objetos Decorativo,"8,48",1,"25,44",485673,485673,Natal,Natal,8720093389623,2.6,4,Micro LED ball steady BO indoor,"Micro, 485673, christmas, Natal, 8720093389623, Objetos Decorativo",Micro LED ball,,Micro LED ball steady BO indoor,Natal-485673,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/485673s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A04Z&sr=c&sp=r&sig=I04dW3ABkl0RHkMMywgyFlbDYxPHI4keEE%2Fl1T6Uh5g%3D,Micro LED ball,Diâmetro:20cm:1
Micro LED pinecone,Objetos Decorativo,"6,05",1,"18,15",485675,485675,Natal,Natal,8720093389647,2.4,4,Micro LED pinecone steady BO indoor,"Micro, 485675, christmas, Natal, 8720093389647, Objetos Decorativo",Micro LED pinecone,,Micro LED pinecone steady BO indoor,Natal-485675,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/485675s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A05Z&sr=c&sp=r&sig=02VgJEC00tTTqWmw7ZJxsI60mdZhk19rB5dwYv0kuqo%3D,Micro LED pinecone,Altura:21cm:1;Diâmetro:15cm:1
LED wick candle,Objetos Decorativo,"11,67",1,"35,01",485838,485838,Natal,Natal,8720093411072,5.2,4,LED wick candle glass cylinder BO indoor,"LED, 485838, christmas, Natal, 8720093411072, Objetos Decorativo",LED wick candle,,LED wick candle glass cylinder BO indoor,Natal-485838,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/485838s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A36%3A06Z&sr=c&sp=r&sig=tMUjzszhP226iPjaUCscL0QiXVK5GIFk5fpAgRwFWic%3D,LED wick candle,Altura:17.5cm:1;Diâmetro:10cm:1
LED wick dinner,Objetos Decorativo,"4,25",1,"12,75",486848,486848,Natal,Natal,8720194672280,4.6,28,LED wick dinner candle wax carved w flat top steady BO indoor,"LED, 486848, christmas, Natal, 8720194672280, Objetos Decorativo",LED wick dinner,,LED wick dinner candle wax carved w flat top steady BO indoor,Natal-486848,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/486848s1.jpg?sv=2018-11-09&se=2023-09-27T10%3A37%3A00Z&sr=c&sp=r&sig=nOMaQ%2BhZW4qccX6etRjguVf92trAyg%2BtaV1BSAppOXA%3D,LED wick dinner,Altura:24.5cm:1;Diâmetro:2.2cm:1
